,bursts_count,avg_time,max_time,min_time,std_time,avg_sample_value,max_sample_value,min_sample_value,std_sample_value,area,total_power,median_freq,f_max
0,5,1.3370645924923907,1.7250833373592922,1.0540509203343156,0.22215572985381063,513.2428019323671,637,411,12.725066892353668,10623611.5,162.4249494954077,70.3125,54.6875
1,8,1.4095618228869693,2.473108469669725,0.06100267555594563,0.8033717155400716,513.227149122807,566,443,6.108839564096249,11701067.0,37.157294840584804,58.59375,39.0625
2,6,1.230553971665424,2.4721084258081483,0.22200973726917894,0.9448960612563722,513.1846491228071,571,388,6.834332277838322,11700096.5,50.03250694668927,50.78125,42.96875
3,5,1.1878542399196312,1.4600666697109457,0.5970272615187913,0.3026015898142875,513.1637899543379,591,466,5.328700122635604,11237773.0,33.5134270007421,50.78125,50.78125
4,6,0.8277069443768555,1.0080490534819226,0.3190155238697745,0.2339819444344445,513.1674452554745,796,335,25.19543930158395,10545078.5,655.0940829841741,74.21875,74.21875
5,6,1.6690736897876286,2.699119166409112,0.9300410614155155,0.5656491125124528,513.1673730684327,606,441,8.604358689842547,11622730.0,79.19096044463059,50.78125,39.0625
6,6,0.9453786752362222,1.318063216461221,0.6400306969159182,0.22387800973943037,513.1646522781774,592,401,9.829417377556364,10698968.0,97.33483177570126,62.5,58.59375
7,8,0.9614189004064112,1.1890542947166516,0.7440339741540711,0.15565409389158052,513.13,651,400,13.750886878828503,11237035.5,192.82108851630386,66.40625,39.0625
8,7,1.424641781251984,1.6030791644031819,0.9410464714306881,0.2076664663121731,513.2102222222222,749,301,30.060153753005338,10391982.0,903.2128817993108,66.40625,50.78125
9,8,0.8994157898317388,1.0820490725202951,0.7450337883804254,0.11256390901509825,513.1774149659864,596,359,12.195356078068697,11315046.5,150.12283774442605,78.125,50.78125
10,5,0.866640402815982,1.1210522635087887,0.2090097440440113,0.3435520989447834,513.196317016317,667,226,22.087738066986798,11007546.5,501.2658451242079,70.3125,62.5
11,6,1.6092461356116354,2.2931132401600074,1.0380512617907058,0.40617947549738076,513.1764938271605,594,425,11.851420107773984,10391311.0,141.30330311275168,70.3125,50.78125
12,7,1.1934776857366276,1.50006173093543,0.5330219350590575,0.2825505539358723,513.2283950617284,603,435,10.810828300148156,12470937.5,120.82868885394929,62.5,42.96875
13,3,0.7076956112724441,1.2850525583868446,0.04500184056607637,0.5098321460948532,513.180981595092,675,371,8.847432487064154,12546762.5,108.62176332800964,31.25,23.4375
14,9,1.0404922831701073,1.5270702101246023,0.7030323233252105,0.22891521684864446,513.1493333333333,574,437,8.791581567164538,11160483.5,83.36055484443634,89.84375,50.78125
15,5,1.0680515966954929,1.3700661867723092,0.8680419343929664,0.17757321453495625,513.1620289855073,681,358,17.286039932834424,10621939.0,304.6894896621532,70.3125,66.40625
16,7,1.1864867325429116,1.7440854943869795,0.6610324035491928,0.4081393371187125,513.2055882352942,638,422,14.806930284765333,10468882.0,222.60281261831642,74.21875,78.125
17,7,1.0599155404075784,1.7740977464323109,0.8330458978456114,0.330053433343471,513.1351515151515,626,408,11.936695911120623,9312891.0,153.22889234567097,62.5,42.96875
18,6,1.7012604000220393,2.30312689404375,1.223067386632872,0.3412935793043729,513.2056198347108,621,380,25.986193226209753,9314171.5,682.1444157194672,54.6875,50.78125
19,5,1.5616743654459737,2.807133673032049,0.8870422401066715,0.6933371628769553,513.217619047619,634,353,15.900412514793118,10777056.0,250.45257114157,70.3125,39.0625
20,5,1.2986631952893084,1.846089834055185,1.069052021996205,0.2961337106823885,513.1730900243309,669,394,15.895552207754928,10545199.0,245.3773868673146,66.40625,42.96875
21,7,1.0134754915902189,1.2490578267512378,0.1820084263160311,0.3509072980482041,513.1369907407408,574,455,6.526107272298234,11083246.5,44.191180101750504,70.3125,42.96875
22,8,0.9431640544121916,1.2060499399561058,0.49502049774318024,0.2051258001980858,513.1833126293996,761,355,15.719288931533415,12392863.0,240.04759417953196,66.40625,62.5
23,7,1.546071577387842,3.1801472290383828,0.28701328765220424,0.821258715430189,513.1906481481482,595,402,14.318976839427185,11084404.5,197.3009649969504,54.6875,39.0625
24,7,1.0581921901120925,1.2450580446640869,0.889041447153712,0.12808231960734195,513.1722610722611,755,364,20.71937540721666,11007034.0,437.932869712725,74.21875,54.6875
25,7,1.7503629930050522,3.0821360766479753,0.08100357631683508,1.0999746283068357,513.2287858719646,567,420,10.973655854292762,11624117.5,120.50394633868545,50.78125,50.78125
26,5,1.5286802456821882,1.7690928657672318,1.1780618405165622,0.24483327612508038,513.2143307086615,760,354,24.353268238490728,9776216.0,608.7275641029294,66.40625,50.78125
27,6,0.9557211237107527,1.6130919140691802,0.5660322525500021,0.31829300009355505,513.2502564102564,667,371,16.738166077499574,9007029.0,304.0275663454519,82.03125,82.03125
28,9,0.7935890403251897,1.0670450229967514,0.41401746909152326,0.18554315706402538,513.1549789029535,672,399,15.701167365680952,12161259.0,238.14297195453602,70.3125,54.6875
29,5,1.22406000294132,1.6530810333839874,0.9430462277562626,0.25225669152569086,513.2373529411765,680,390,20.46744993199128,10469535.5,437.82054581848166,54.6875,50.78125
30,5,2.045298806705638,2.5861249335716696,1.2710614039325572,0.4745017526654588,513.2532850241546,598,424,12.739096932588733,10623830.0,157.27607673510028,46.875,35.15625
31,6,1.3907333685068837,1.5750755431915202,1.3320638879562572,0.08671568587703134,513.1976498800959,691,344,29.510040956574613,10699680.5,888.4100834601551,54.6875,50.78125
32,7,1.3400629137518199,1.833086060378422,1.1450537583924145,0.21419955852771083,513.1852582159624,666,366,17.337918729544548,10930333.0,293.89593336864885,70.3125,62.5
33,3,2.8118355456784183,4.611276953570783,1.7261036698900831,1.281429459985562,513.1607807807808,572,476,6.28716500776191,8543630.0,39.40762880742624,54.6875,50.78125
34,4,1.7905828973563587,2.9031344043705722,0.11700541691744992,1.055030715896791,513.2062962962963,568,461,5.6147076360336365,11084741.0,33.17548452983107,54.6875,50.78125
35,8,1.1705530863077693,1.7510794140323842,0.7630346047439787,0.29420545675343335,513.2170068027211,647,376,17.76795329472138,11315920.5,295.7799832832848,62.5,39.0625
36,5,0.9360503252863055,1.4100758105274487,0.10500564546481006,0.45303738094377205,513.1869354838709,773,313,27.256861645056887,9544767.5,742.9663345678898,58.59375,39.0625
37,6,1.1815511494004072,1.9490843759470113,0.7760335945279018,0.3889678850564197,513.2414718614718,715,393,17.79569366406207,11855361.5,327.868086825484,62.5,50.78125
38,5,1.5234832504508442,2.154117711350347,1.04005683370676,0.39613405495802434,513.2344262295082,627,374,18.360813450727797,9391677.5,350.8537740876883,70.3125,46.875
39,10,0.9126325359192842,1.2770455274697845,0.6050215693964134,0.2177218864054635,513.2198217468806,695,353,18.330241106042738,14395297.5,332.54192894237457,54.6875,50.78125
40,7,0.8949052560429512,1.269068229474703,0.5940319372009246,0.2251796177715435,513.2093010752689,898,98,14.94329099455884,9545179.5,269.6825422196752,46.875,11.71875
41,5,1.2232482543690082,1.992078582981577,0.6460254842400097,0.44626838578749406,513.1629585798817,620,425,9.657066207495781,13008167.5,95.78018814590637,50.78125,39.0625
42,10,0.88703968857667,1.8180813459215184,0.07700344534431025,0.6141427770447359,513.4091722595078,788,134,18.962458047376522,11474194.0,421.58351899855444,35.15625,27.34375
43,9,1.056047250436261,1.367061166047698,0.8020358852745089,0.17954818683072535,513.165548098434,647,435,14.005597270410512,11468737.5,198.27200895337128,70.3125,62.5
44,7,0.9867616124103252,1.6300781812077325,0.7390354453451007,0.2785091716675443,513.2176019184652,620,400,13.82845524941005,10700071.0,190.31787505775608,66.40625,50.78125
45,5,2.366499224286133,3.331139670426431,0.9950417208268689,0.8736030203523598,513.1506918238994,564,442,8.619884412113258,12238130.0,78.49900804771919,50.78125,39.0625
46,7,1.248918817860494,2.000098770309646,0.43702158131265767,0.5362181909808841,513.2036049382716,639,317,19.704199636136362,10391859.5,381.7409312381332,70.3125,50.78125
47,9,0.8675954450013026,1.2580578417398502,0.6360292427238043,0.18110689482660203,513.196,685,391,19.496856748729005,11161499.0,379.3733833493042,70.3125,54.6875
48,7,1.1047665205379513,1.4010662442668687,0.9980471889923841,0.13566956289692592,513.2178723404255,610,417,12.493697785761974,10854047.0,162.31522220052088,70.3125,54.6875
49,5,1.4036688072944752,1.7940879454875232,0.9210451492720235,0.35213690037209167,513.1986764705882,624,435,11.4465419135074,10468738.5,131.19307370951503,50.78125,35.15625
50,7,0.48859271801447884,0.9290404810667106,0.1330057954594972,0.2464504484748329,513.1314596949891,771,49,18.075383645934654,11775853.5,328.28466527355573,62.5,42.96875
51,8,1.1501826532658277,2.0591032131936444,0.3270163917990878,0.44285298905145437,513.1715789473684,642,363,16.937898786490944,10237261.0,290.41376638055436,74.21875,54.6875
52,8,0.7784110375480346,0.9330431964442809,0.4980230566229906,0.12272888416114243,513.2469907407408,612,386,13.536906521306149,11085622.0,181.25290094627178,62.5,50.78125
53,4,3.7436919842043186,9.904507923483255,1.3330683624801267,3.572767752498579,513.169282051282,706,383,30.45404288764463,10006285.5,917.4971961630156,50.78125,50.78125
54,6,0.8943778297427732,1.1250559729339766,0.6630329867157572,0.15197210344918763,513.2410945273632,660,421,12.50427122234678,10315632.5,171.3502469422376,66.40625,39.0625
55,6,0.8180384055589464,1.077050565754261,0.5510258697591439,0.1681645680270616,513.1898591549295,802,277,19.325808244402396,10930432.0,407.592329719801,66.40625,42.96875
56,6,1.0305524454170694,1.3230673316708224,0.5780294162552799,0.28745259295226355,513.244631043257,640,315,19.119954883227223,10084736.5,357.92607759232936,74.21875,50.78125
57,6,1.5898964244612888,2.6791063137426088,0.959038057065758,0.6480312239032663,513.1853174603175,723,303,28.115966321661546,12931742.0,812.8696679367289,54.6875,50.78125
58,5,1.4068699935320166,1.7360863724563416,1.2520622916563018,0.18669554921215184,513.1891542288557,580,450,9.835211480024741,10314588.5,100.56164858463914,46.875,39.0625
59,5,1.849696338350956,2.485129433824678,1.1220584405437783,0.4607232905559451,513.1667708333333,589,470,7.645471153291729,9852289.5,59.60381824706385,58.59375,42.96875
60,6,1.2372268723538857,1.613078495303907,0.9070441384008956,0.25785126755409254,513.165401459854,645,391,13.884225501729253,10545036.5,194.6005358049388,70.3125,66.40625
61,5,1.848891303274236,2.063101881574399,1.4510716578596476,0.20883023502540837,513.1857283950617,564,460,7.75784899393192,10391499.0,54.20182500738524,54.6875,35.15625
62,7,1.1626263990867518,1.5920752754267333,0.725034280580642,0.30450312904855065,513.1347517730496,604,370,14.649632205497525,10852289.0,224.83492668244966,78.125,62.5
63,4,1.3238121508052025,1.457068406967462,1.1870557303159792,0.09576820275050628,513.1731924882629,561,445,6.58284900902522,10930074.5,43.85700702819336,46.875,35.15625
64,5,1.0702485373486326,1.288058415347634,0.9000408181776951,0.13850162413478503,513.1785487528344,722,342,16.703534805285596,11315077.5,253.86473441695523,70.3125,46.875
65,7,1.1143419941844106,1.3800697004899232,0.853043082983989,0.18539830935004523,513.1979797979798,635,345,19.562278067533725,10160809.5,400.3616703189786,70.3125,50.78125
